date,oi,pm_l,pm_s,sw_l,sw_s,sw_sp,mm_l,mm_s,mm_sp,or_l,or_s,or_sp,nr_l,nr_s,comm_long,comm_short,comm_net,nc_long,nc_short,nc_spread,nc_net,nonrept_net
2020-01-07,1197110,78302,216999,119729,372562,162433,299814,27512,138821,118535,33341,210573,68904,34870,360464,751994,-391530,418349,60853,349394,357496,34034
2020-01-14,1170516,87238,221969,119069,357136,162686,290193,27858,135078,109598,29844,197108,69546,38837,368993,741791,-372798,399791,57702,332186,342089,30709
2020-01-21,1189723,92596,227553,113790,356358,163441,288676,29486,137451,112217,28461,208429,73123,38544,369827,747352,-377525,400893,57947,345880,342946,34579
2020-01-28,1068985,71495,204315,111826,365105,158000,289525,31891,84170,114765,18031,171981,67222,35491,341321,727420,-386099,404290,49922,256151,354368,31731
2020-02-04,1002910,62118,193876,113727,326757,150350,251743,40250,63405,119227,19314,174904,67435,34054,326195,670983,-344788,370970,59564,238309,311406,33381
2020-02-11,1013330,64740,199356,114041,337699,153383,262135,32766,63514,115672,17674,172709,67136,36229,332164,690438,-358274,377807,50440,236223,327367,30907
2020-02-18,1140854,75127,224940,102636,374487,169529,320394,36188,73946,123010,18413,203644,72568,39707,347292,768956,-421664,443404,54601,277590,388803,32861
2020-02-25,1222538,92798,239813,95715,375432,173940,313751,28779,97099,123534,22115,241448,84253,43913,362453,789185,-426732,437285,50894,338547,386391,40340
2020-03-03,1226461,93300,236711,92190,349442,196656,293813,25137,101647,117677,18037,259928,71248,38903,382146,782809,-400663,411490,43174,361575,368316,32345
2020-03-10,1236887,114589,236986,95726,346594,214815,270955,12497,91311,106929,21805,273589,68974,39291,425130,798395,-373265,377884,34302,364900,343582,29683
2020-03-17,1161072,101900,216913,84477,268384,220420,187543,10073,89423,127287,28444,288835,61189,38581,406797,705717,-298920,314830,38517,378258,276313,22608
2020-03-24,1254370,114162,232389,78595,297024,233274,201878,2190,107231,137087,24013,324472,57672,33777,426031,762687,-336656,338965,26203,431703,312762,23895
2020-03-31,992626,94274,194501,79028,273920,173390,181229,3173,73007,118913,28557,219176,53609,26901,346692,641811,-295119,300142,31730,292183,268412,26708
2020-04-07,1053747,100948,201398,76262,279654,186596,191989,3064,83550,116051,29314,240173,58178,29999,363806,667648,-303842,308040,32378,323723,275662,28179
2020-04-14,1142624,113034,211432,71892,290115,204443,204540,5975,98219,120089,28591,269623,60784,34226,389369,705990,-316621,324629,34566,367842,290063,26558
2020-04-21,1067082,98988,197179,72193,282676,187193,187257,7669,92234,120921,23752,247775,60521,28604,358374,667048,-308674,308178,31421,340009,276757,31917
2020-04-28,1023747,94452,195447,71641,288917,168995,190484,6417,95869,123607,21608,218583,60116,27911,335088,653359,-318271,314091,28025,314452,286066,32205
2020-05-05,1009319,93424,189786,73578,285994,169162,180111,8295,93711,123718,19963,214511,61103,27897,336164,644942,-308778,303829,28258,308222,275571,33206
2020-05-12,1013123,97225,189898,75410,289006,167677,181585,20612,86152,124650,16709,215981,64444,27089,340312,646581,-306269,306235,37321,302133,268914,37355
2020-05-19,1086271,103014,199469,74583,300934,183682,197798,24521,95299,130737,20473,234564,66594,27329,361279,684085,-322806,328535,44994,329863,283541,39265
2020-05-26,903115,73074,154770,74265,283822,140195,180977,32062,76434,125880,21151,167885,64405,26795,287534,578787,-291253,306857,53213,244319,253644,37610
2020-06-02,874543,75087,150989,71925,272208,121234,169015,32447,73797,124322,23594,175203,63960,25071,268246,544431,-276185,293337,56041,249000,237296,38889
2020-06-09,875907,73923,149841,72709,258342,120192,162442,35137,74731,122324,24276,188567,61020,24822,266824,528375,-261551,284766,59413,263298,225353,36198
2020-06-16,910794,76383,157693,72346,268835,126643,173656,30586,78135,126028,26601,195903,61700,26398,275372,553171,-277799,299684,57187,274038,242497,35302
2020-06-23,1004682,81384,170995,69802,292302,140951,205519,29855,92552,129745,29882,215499,69230,32645,292137,604248,-312111,335264,59737,308051,275527,36585
2020-06-30,990185,81717,174091,68007,302546,124156,213528,33527,93696,142150,31779,197537,69394,32852,273880,600793,-326913,355678,65306,291233,290372,36542
2020-07-07,1008422,82948,172380,65340,306050,129840,221148,39620,94688,145301,33583,198632,70524,33628,278128,608270,-330142,366449,73203,293320,293246,36896
2020-07-14,1016765,84559,177856,64445,301274,137260,218870,41543,94600,139279,27677,206120,71632,30436,286264,616390,-330126,358149,69220,300720,288929,41196
2020-07-21,1076205,89087,188227,62839,301518,149399,223340,39213,111901,141995,27406,222612,75032,35929,301325,639144,-337819,365335,66619,334513,298716,39103
2020-07-28,1127029,95603,187759,63722,292018,171948,211455,36945,134911,140526,37434,235368,73497,30646,331273,651725,-320452,351981,74379,370279,277602,42851
2020-08-04,1135911,99826,201619,67203,288495,160796,215216,41743,122948,145533,34324,248846,75544,37141,327825,650910,-323085,360749,76067,371794,284682,38403
2020-08-11,1091080,92588,188540,69505,279953,156493,194563,44434,113778,139852,30262,246407,77894,31213,318586,624986,-306400,334415,74696,360185,259719,46681
2020-08-18,1125064,94731,191636,69964,283931,168806,194412,39138,117866,138055,28260,264456,76775,30971,333501,644373,-310872,332467,67398,382322,265069,45804
2020-08-25,1077350,90346,185446,71885,275133,163233,178087,39748,103743,137633,25875,256603,75821,27570,325464,623812,-298348,315720,65623,360346,250097,48251
2020-09-01,1031272,80325,179320,70844,281413,144022,189256,38235,95213,136952,27254,236734,77926,29081,295191,604755,-309564,326208,65489,331947,260719,48845
2020-09-08,1018960,77556,178430,70099,279914,142550,193812,39183,89940,136060,26500,233516,75427,28927,290205,600894,-310689,329872,65683,323456,264189,46500
2020-09-15,1052825,81535,183931,69746,287376,147693,206780,41529,95617,136703,28575,238257,76493,29845,298974,619000,-320026,343483,70104,333874,273379,46648
2020-09-22,1027946,79892,170204,72131,273339,154769,178619,47530,91058,137564,26809,236382,77532,27855,306792,598312,-291520,316183,74339,327440,241844,49677
2020-09-29,911902,60075,148920,73201,273089,132993,174793,45840,66478,143646,28422,188396,72319,27763,266269,555002,-288733,318439,74262,254874,244177,44556
2020-10-06,908492,58808,148093,73513,276503,124845,175165,44156,63418,148220,28839,190487,74036,32152,257166,549441,-292275,323385,72995,253905,250390,41884
2020-10-13,905764,56622,148431,74260,266846,119508,173108,53285,60679,150476,32069,195349,75763,29598,250390,534785,-284395,323584,85354,256028,238230,46165
2020-10-20,936622,63110,156540,73564,277066,123153,185578,50267,65244,149742,34197,203897,72334,26258,259827,556759,-296932,335320,84464,269141,250856,46076
2020-10-27,886856,56478,149787,71615,274137,117681,179925,48316,58969,146548,31800,179466,76175,26701,245774,541605,-295831,326473,80116,238435,246357,49474
2020-11-03,882150,54786,146970,70384,266110,117592,172454,50503,57464,148700,30552,187798,72971,25159,242762,530672,-287910,321154,81055,245262,240099,47812
2020-11-10,873170,53171,143735,71595,256626,118613,161790,50833,53398,148008,28774,196178,70417,25013,243379,518974,-275595,309798,79607,249576,230191,45404
2020-11-17,875225,53412,147723,70711,261955,114955,170334,47873,50796,148587,30250,196710,69721,24963,239078,524633,-285555,318921,78123,247506,240798,44758
2020-11-24,751804,36982,127010,75668,250132,75237,156962,52283,46856,144291,27759,144531,71277,27995,187887,452379,-264492,301253,80042,191387,221211,43282
2020-12-01,746427,39379,135361,73528,252864,79767,157094,49441,40237,150900,18067,143737,61784,26952,192674,467992,-275318,307994,67508,183974,240486,34832
2020-12-08,778040,38934,137057,70515,259081,81459,175518,48781,46086,151092,23552,152487,61949,29536,190908,477597,-286689,326610,72333,198573,254277,32413
2020-12-15,773839,36342,135606,69021,260126,82019,177883,50055,45311,149270,22808,150972,63022,26943,187382,477751,-290369,327153,72863,196283,254290,36079
2020-12-21,799618,36993,139357,67446,265880,83946,187038,49841,48805,151398,26274,159084,64908,26431,188385,489183,-300798,338436,76115,207889,262321,38477
2020-12-29,747305,30974,134189,67525,268526,68619,187906,51045,47437,153716,26243,127349,63778,23897,167118,471334,-304216,341622,77288,174786,264334,39881
2021-01-05,810238,37747,143024,65142,283175,73371,202837,50708,57987,155663,27121,149710,67781,25143,176260,499570,-323310,358500,77829,207697,280671,42638
2021-01-12,754574,33127,129683,66545,254607,75528,158862,53592,55494,153803,20017,141810,69405,23843,175200,459818,-284618,312665,73609,197304,239056,45562
2021-01-19,735630,31773,130696,65924,249901,68529,153840,48844,68788,151430,16055,128540,66806,24277,166226,449126,-282900,305270,64899,197328,240371,42529
2021-01-26,700842,26686,127924,66605,259347,62494,162560,46844,55852,149382,13780,111882,65380,22720,155785,449765,-293980,311942,60624,167734,251318,42660
2021-02-02,695241,27555,128838,64156,252451,62604,155639,49798,57593,152791,11793,109874,65031,22292,154315,443893,-289578,308430,61591,167467,246839,42739
2021-02-09,689620,27574,127295,63783,247655,62908,153346,47495,56087,150466,15207,111660,63797,21314,154265,437858,-283593,303812,62702,167747,241110,42483
2021-02-16,686558,30074,125128,65049,232378,63750,140896,57315,54704,151340,14952,114940,65806,23393,158873,421256,-262383,292236,72267,169644,219969,42413
2021-02-23,632438,25499,118490,64119,225225,52587,140353,56958,51031,147684,14234,90357,60808,23557,142205,396302,-254097,288037,71192,141388,216845,37251
2021-03-02,645514,31892,115694,64934,197568,61823,117309,59453,58546,141712,17643,108945,60352,25840,158649,375085,-216436,259021,77096,167491,181925,34512
2021-03-09,676057,41884,120276,65170,188107,71056,106612,64716,59230,140988,15720,130061,61057,26891,178110,379439,-201329,247600,80436,189291,167164,34166
2021-03-16,676965,42533,119663,65719,194243,79448,112484,57743,62699,139180,18871,118445,56457,25854,187700,393354,-205654,251664,76614,181144,175050,30603
2021-03-23,684841,41084,116815,64851,187013,83364,118849,62839,58729,137988,25758,123790,56185,26533,189299,387192,-197893,256837,88597,182519,168240,29652
2021-03-30,638136,39395,110435,63339,178033,74811,120028,69565,52315,136033,28934,97499,54717,26544,177545,363279,-185734,256061,98499,149814,157562,28173
2021-04-06,633809,37131,115509,66483,202515,56619,132975,55569,50028,143970,33652,95024,51580,24893,160233,374643,-214410,276945,89221,145052,187724,26687
2021-04-13,630094,36618,111836,67433,201713,56916,123366,58600,48350,146581,31512,97242,53588,23926,160967,370465,-209498,269947,90112,145592,179835,29662
2021-04-20,657138,38310,116163,67766,207890,58784,130031,60731,50116,149916,35048,105081,57134,23326,164860,382837,-217977,279947,95779,155197,184168,33808
2021-04-27,635455,35565,110982,68621,205086,58808,130103,66949,47905,145073,34741,89761,59617,21222,162994,374876,-211882,275176,101690,137666,173486,38395
2021-05-04,638934,34537,105714,67316,204457,61430,130153,64020,48095,144839,36298,95374,57188,23545,163283,371601,-208318,274992,100318,143469,174674,33643
2021-05-11,704587,44149,123239,66759,229243,67558,145630,50045,55737,146398,38051,116320,62037,24394,178466,420040,-241574,292028,88096,172057,203932,37643
2021-05-18,751663,49112,125610,66091,241864,79235,156180,49284,60407,145192,37686,130377,65069,27201,194438,446709,-252271,301372,86970,190784,214402,37868
2021-05-25,699958,39256,123493,66847,253974,59121,162961,36058,56777,144022,37970,104903,66071,27662,165224,436588,-271364,306983,74028,161680,232955,38409
2021-06-01,683388,38522,114661,63326,258702,57236,166478,36632,54115,141654,36457,102136,59922,23450,159084,430599,-271515,308132,73089,156251,235043,36472
2021-06-08,679113,39436,111933,63064,260054,55132,163629,36565,50667,145688,40652,101511,59986,22599,157632,427119,-269487,309317,77217,152178,232100,37387
2021-06-15,661687,38973,109362,64560,246521,56825,155581,41130,46923,135531,39211,99949,63346,21767,160358,412708,-252350,291112,80341,146872,210771,41579
2021-06-22,634981,35668,94574,66754,218183,62915,123605,47442,44496,132590,37586,108163,60789,21621,165337,375672,-210335,256195,85028,152659,171167,39168
2021-06-29,608002,33884,90402,66479,213150,58498,126807,54291,42089,132922,37751,89289,58034,22531,158861,362050,-203189,259729,92042,131378,167687,35503
2021-07-06,625552,34897,98197,66189,229404,58220,146582,53578,39299,135073,36025,88396,56896,22432,159306,385821,-226515,281655,89603,127695,192052,34464
2021-07-13,659997,36513,99920,65415,236550,62375,152954,49965,41053,134497,35832,110048,57143,24256,164303,398845,-234542,287451,85797,151101,201654,32887
2021-07-20,659539,37197,103037,65708,244001,74323,152783,43968,38141,136613,36200,98812,55962,21057,177228,421361,-244133,289396,80168,136953,209228,34905
