date,usd_per_xau,file_date
2024-06-04,2348.47906624,2024-06-04
2024-06-18,2320.72245018,2024-06-18
2024-07-02,2332.2168234,2024-07-02
2024-07-16,2424.68268784,2024-07-16
2024-07-30,2380.13633421,2024-07-30
2024-08-13,2462.58411264,2024-08-13
2024-08-27,2512.72633068,2024-08-27
2024-09-10,2503.98885424,2024-09-10
2024-09-24,2628.83734674,2024-09-24
2024-10-08,2640.46689792,2024-10-08
2024-10-22,2728.6551632,2024-10-22
2024-11-05,2733.71783986,2024-11-05
2024-11-19,2614.79881999,2024-11-19
2024-12-03,2635.19262863,2024-12-03
2024-12-17,2656.89990262,2024-12-17
2024-12-31,2610.06241703,2024-12-31
2025-01-14,2668.8658121,2025-01-14
2025-01-28,2743.61143219,2025-01-28
2025-02-11,2930.61161571,2025-02-11
2025-02-25,2946.81963018,2025-02-25
2025-03-11,2890.14250426,2025-03-11
2025-03-25,3013.09642361,2025-03-25
2025-04-08,2998.43691484,2025-04-08
2025-04-22,3450.06632753,2025-04-22
2025-05-06,3375.70290574,2025-05-06
2025-05-20,3223.02529269,2025-05-20
2025-06-03,3373.03052964,2025-06-03
2025-06-06,3363.58315787,2025-06-06
2025-06-10,3306.99094579,2025-06-10
2025-06-13,3426.28619357,2025-06-13
2025-06-17,3394.57946761,2025-06-17
2025-06-20,3356.71734527,2025-06-20
2025-06-24,3348.20606467,2025-06-24
2025-06-27,3316.86399796,2025-06-27
2025-07-01,3315.65426479,2025-07-01
2025-07-04,3330.07430062,2025-07-04
2025-07-08,3335.1443167,2025-07-08
2025-07-11,3328.71640368,2025-07-11
2025-07-15,3349.21867752,2025-07-15
2025-07-18,3340.45518379,2025-07-18
2025-07-22,3386.85925703,2025-07-22
2025-07-25,3367.79825811,2025-07-25
2025-07-29,3319.12526445,2025-07-29
2025-08-01,3288.58554976,2025-08-01
2025-08-05,3377.24882556,2025-08-05
2025-08-08,3387.78405722,2025-08-08
2025-08-12,3350.11966627,2025-08-12
2025-08-15,3339.85607224,2025-08-15
2025-08-19,3333.73893824,2025-08-19
2025-08-22,3334.50263226,2025-08-22
2025-08-26,3376.55207437,2025-08-26
2025-08-29,3409.85386389,2025-08-29
2025-09-02,3492.57008104,2025-09-02
2025-09-05,3552.33855776,2025-09-05
2025-09-09,3646.99961342,2025-09-09
2025-09-12,3646.20972853,2025-09-12
2025-09-16,3678.76034605,2025-09-16
2025-09-19,3635.67748487,2025-09-19
2025-09-23,3756.88307941,2025-09-23
2025-09-26,3741.15684052,2025-09-26
2025-09-30,3847.5049123,2025-09-30
2025-10-03,3857.1749819,2025-10-03
2025-10-07,3958.22802798,2025-10-07
2025-10-10,3979.7652814,2025-10-10
2025-10-14,4135.37736766,2025-10-14
2025-10-17,4330.7760101,2025-10-17
2025-10-21,4347.36677821,2025-10-21
2025-10-24,4123.01935304,2025-10-24
2025-10-28,4011.62890988,2025-10-28
2025-10-31,4016.12716022,2025-10-31
2025-11-04,3988.95697152,2025-11-04
2025-11-07,4002.18359137,2025-11-07
2025-11-11,4132.44998083,2025-11-11
2025-11-14,4192.9160683,2025-11-14
2025-11-18,4023.73359021,2025-11-18
2025-11-21,4073.36621355,2025-11-21
2025-11-25,4135.53470603,2025-11-25
2025-11-28,4191.41171357,2025-11-28
2025-12-02,4220.46350818,2025-12-02
2025-12-05,4203.93101181,2025-12-05
2025-12-09,4195.76957337,2025-12-09
2025-12-12,4271.94884598,2025-12-12
2025-12-16,4310.93386467,2025-12-16
2025-12-19,4327.04498309,2025-12-19
2025-12-23,4483.92289446,2025-12-23
2025-12-26,4499.84048065,2025-12-26
2025-12-30,4356.15391686,2025-12-30
2026-01-02,4348.33087145,2026-01-02
2026-01-06,4452.18134625,2026-01-06
2026-01-09,4473.91862032,2026-01-09
2026-01-13,4585.44168121,2026-01-13
2026-01-16,4603.02372629,2026-01-16
2026-01-20,4667.71908173,2026-01-20
2026-01-23,4951.87274875,2026-01-23
2026-01-27,5062.07880341,2026-01-27
2026-01-30,5163.11306805,2026-01-30
2026-02-03,4779.47959114,2026-02-03
2026-02-06,4829.99620845,2026-02-06
2026-02-10,5040.57410123,2026-02-10
2026-02-13,4976.72881606,2026-02-13
2026-02-17,4963.54031462,2026-02-17
2026-02-20,4999.05517857,2026-02-20
2026-02-24,5186.53906397,2026-02-24
2026-02-27,5183.9364325,2026-02-27
2026-03-03,5358.04607062,2026-03-03
2026-03-06,5129.73615715,2026-03-06
2026-03-10,5182.17146458,2026-03-10
2026-03-13,5119.98689283,2026-03-13
2026-03-17,5024.31517328,2026-03-17
2026-03-20,4687.06791093,2026-03-20
2026-03-24,4366.37749604,2026-03-24
2026-03-27,4433.0092508,2026-03-27
2026-03-31,4574.91910399,2026-03-31
2026-04-03,4676.43948991,2026-04-03
2026-04-07,4652.80317433,2026-04-07
2026-04-10,4752.48780488,2026-04-10
2026-04-14,4761.90688259,2026-04-14
2026-04-17,4787.01626016,2026-04-17
2026-04-21,4807.74693878,2026-04-21
2026-04-24,4670.28,2026-04-24
2026-04-28,4667.03585657,2026-04-28
2026-05-01,4619.81496063,2026-05-01
2026-05-05,4530.01550388,2026-05-05
2026-05-08,4709.87148594,2026-05-08
2026-05-12,4720.55940517,2026-05-12
2026-05-15,4623.76587302,2026-05-15
2026-05-19,4544.16771978,2026-05-19
2026-05-22,4529.35679963,2026-05-22
2026-05-26,4540.33222519,2026-05-26
2026-05-29,4503.44153002,2026-05-29
2026-06-02,4509.04401503,2026-06-02
2026-06-05,4441.84448481,2026-06-05
2026-06-09,4335.08658685,2026-06-09
2026-06-12,4195.62874224,2026-06-12
2026-06-16,4325.42040924,2026-06-16
2026-06-19,4126.14108432,2026-06-19
2026-06-23,4145.4901213,2026-06-23
2026-06-26,4006.79713065,2026-06-26
2026-06-30,3971.06838418,2026-06-30
2026-07-03,4178.77117383,2026-07-03
2026-07-07,4127.63472084,2026-07-07
2026-07-10,4121.07385294,2026-07-10
2026-07-14,4010.96758978,2026-07-14
2026-07-17,3990.28604765,2026-07-17
2026-07-21,4037.68614743,2026-07-21
2026-07-24,4032.30684242,2026-07-24
2026-07-28,4043.30541835,2026-07-28
2026-07-31,4075.53598393,2026-07-31
2026-08-04,4058.54038654,2026-08-04
